models,Uniform,BetaBinomial α=0.75 β=1.5,BetaBinomial α=1.0 β=1.0,BetaBinomial α=0.5 β=0.5,Dirichlet Process α=0.5,Dirichlet Process α=1.887,Dirichlet Process α=1.0,Dirichlet Process α=3.0
12134,-3.9512437185814275,-3.724186267946081,-3.9120230054281464,-4.158883083359672,-6.158037746933798,-3.872215901725787,-4.787491742782046,-3.43756502583303
12211,-3.9512437185814275,-4.727488376809866,-4.31748811353631,-4.564348191467836,-4.0785962052539615,-4.449045253938667,-4.0943445622221,-4.941642422609305
12212,-3.9512437185814275,-4.727488376809866,-4.31748811353631,-4.564348191467836,-4.0785962052539615,-4.449045253938667,-4.0943445622221,-4.941642422609305
12213,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-5.464890566373852,-4.5072041681121995,-4.787491742782046,-4.53617731450114
12221,-3.9512437185814275,-4.727488376809866,-4.31748811353631,-4.564348191467836,-4.0785962052539615,-4.449045253938668,-4.094344562222101,-4.941642422609305
12222,-3.9512437185814275,-4.727488376809866,-4.31748811353631,-4.564348191467836,-2.9799839165858515,-3.3504329652705582,-2.9957322735539913,-3.8430301339411947
12223,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-4.771743385813907,-3.814056987552255,-4.094344562222101,-3.8430301339411947
12231,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-5.464890566373852,-4.5072041681122,-4.787491742782046,-4.53617731450114
12232,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-4.771743385813907,-3.814056987552255,-4.0943445622221,-3.8430301339411947
12233,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-5.464890566373852,-4.5072041681122,-4.787491742782046,-4.53617731450114
12234,-3.9512437185814275,-3.724186267946081,-3.9120230054281464,-4.158883083359672,-6.158037746933798,-3.872215901725787,-4.787491742782046,-3.43756502583303
12311,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-4.771743385813907,-3.8140569875522545,-4.0943445622221,-3.8430301339411947
12312,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-5.464890566373852,-4.5072041681121995,-4.787491742782046,-4.53617731450114
12313,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-5.464890566373852,-4.5072041681121995,-4.787491742782046,-4.53617731450114
12314,-3.9512437185814275,-3.724186267946081,-3.9120230054281464,-4.158883083359672,-6.158037746933798,-3.8722159017257867,-4.787491742782046,-3.43756502583303
12321,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-5.464890566373852,-4.5072041681121995,-4.787491742782046,-4.53617731450114
12322,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-4.771743385813907,-3.8140569875522545,-4.0943445622221,-3.8430301339411947
12323,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-5.464890566373852,-4.5072041681121995,-4.787491742782046,-4.53617731450114
12324,-3.9512437185814275,-3.724186267946081,-3.9120230054281464,-4.158883083359672,-6.158037746933798,-3.8722159017257867,-4.787491742782046,-3.43756502583303
12331,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-5.464890566373852,-4.5072041681121995,-4.787491742782046,-4.53617731450114
12332,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-5.464890566373852,-4.5072041681121995,-4.787491742782046,-4.53617731450114
12333,-3.9512437185814275,-4.928159072272017,-4.828313737302301,-5.180534330891653,-4.771743385813907,-3.8140569875522545,-4.0943445622221,-3.8430301339411947
12334,-3.9512437185814275,-3.724186267946081,-3.9120230054281464,-4.158883083359672,-6.158037746933798,-3.8722159017257867,-4.787491742782046,-3.43756502583303
12341,-3.9512437185814275,-3.724186267946081,-3.9120230054281464,-4.158883083359672,-6.158037746933799,-3.872215901725787,-4.787491742782046,-3.43756502583303
12342,-3.9512437185814275,-3.724186267946081,-3.9120230054281464,-4.158883083359672,-6.158037746933799,-3.872215901725787,-4.787491742782046,-3.43756502583303
12343,-3.9512437185814275,-3.724186267946081,-3.9120230054281464,-4.158883083359672,-6.158037746933799,-3.872215901725787,-4.787491742782046,-3.43756502583303
12344,-3.9512437185814275,-3.724186267946081,-3.9120230054281464,-4.158883083359672,-6.158037746933799,-3.872215901725787,-4.787491742782046,-3.43756502583303
12345,-3.9512437185814275,-1.0161360668438715,-1.6094379124341003,-1.2966822024302038,-6.851184927493744,-3.237227635339374,-4.787491742782046,-2.3389527371649206
